gene,FAD_mean,FAD_KO_mean,log2_fold_change,p_value,neg_log10_p
Crebzf,4.144665833483951,4.3797237962467825,0.23505796276283153,0.024213156210013777,1.6159485961323627
Ugp2,4.162968860582203,4.385705254287207,0.22273639370500398,0.024250639976617593,1.615276795839197
Sart1,3.2438722953326313,3.5973613706554417,0.3534890753228104,0.02433359228495562,1.6137937729281553
Rps16,5.434871488354315,5.645921964724612,0.21105047637029628,0.024356772234283956,1.6133802650423952
E2f4,2.612907761479638,2.991739390401112,0.37883162892147393,0.024526733251398862,1.6103602922081428
Casp3,2.659732133630074,3.1010228748206985,0.4412907411906244,0.024564381363652087,1.6096941687868558
Exoc7,3.0462194329589116,3.2927387655889278,0.24651933263001613,0.024618382431913725,1.6087404860908368
Tapt1,4.244077158181688,4.549962651410809,0.3058854932291206,0.024729834027023938,1.606778798373419
Ppa1,4.5962122714408045,4.79280197708004,0.1965897056392354,0.02474199229507876,1.6065653326809402
Gak,4.989001697573882,5.218082704562673,0.22908100698879075,0.024844271128940356,1.6047737398853434
Siah2,2.047256023628794,2.4850942282996877,0.43783820467089374,0.025010575067244162,1.601876322437446
Kdm3b,1.8083040543563564,2.063369400493669,0.2550653461373127,0.025074037408613067,1.600775730536936
Tial1,4.641240529295382,4.903502175766719,0.26226164647133743,0.025213766220996393,1.59836227820969
Reep1,5.273233992198087,5.567214410598903,0.29398041840081657,0.02526998730449077,1.5973949762673028
Ldb1,4.120501909883457,4.499736075899637,0.37923416601617976,0.025523708203744108,1.593056229032727
Ndufs1,6.487426421510964,6.72383199535512,0.23640557384415573,0.0255810879611571,1.5920809889629428
Zdhhc7,2.480989733458039,2.7382165016166393,0.25722676815860046,0.02562647315120624,1.5913111595732452
Zfp30,3.331321210064741,3.114407311113482,-0.21691389895125912,0.025631710884363834,1.5912224042394876
Rchy1,4.39466222003044,4.752341372783457,0.35767915275301654,0.025639520767190734,1.5910900965521937
Mrps35,2.819377571632986,3.052852424617171,0.2334748529841848,0.02583427224331704,1.5878037681095438
Gorab,1.7190938271671892,2.040772441029111,0.32167861386192187,0.025879002320712725,1.5870524704670557
Slc9a3r1,2.8557728174241555,3.0932848402634487,0.2375120228392933,0.02589534362502665,1.5867783216237754
Minpp1,1.9149741812115029,2.094515523437199,0.17954134222569595,0.02593031316337143,1.586192238174618
Abcb10,2.950113969946852,3.1938112944832135,0.2436973245363614,0.025985818378088794,1.5852636012774737
Pitpnm1,3.910044394878683,4.199829360805818,0.2897849659271352,0.02606379579465283,1.5839623356446384
